wap,count,lat,long
WAP502,51,39.99228202431161,-0.06633144866479501
WAP175,55,39.99233623027842,-0.06752908325004547
WAP248,88,39.99268328253553,-0.06711150872728044
WAP165,57,39.992316379699275,-0.06748578615655365
WAP174,58,39.99233388579512,-0.06752815663342027
WAP186,53,39.992224270142266,-0.06737544909186255
WAP187,59,39.992226486202,-0.06737784168797045
WAP314,53,39.9923633111076,-0.06762535779659107
WAP317,52,39.992364385056874,-0.06766937851440691
WAP078,64,39.992194638907236,-0.06640088904672581
WAP282,52,39.992302201483014,-0.06739502670684239
WAP077,54,39.99219416800667,-0.06640307642654353
WAP284,57,39.99245975850121,-0.0674770222305856
WAP340,53,39.992453631542986,-0.0674696780324231
WAP069,51,39.9922053190783,-0.06637836274444364
WAP070,60,39.99220930156583,-0.06638207367732285
WAP087,63,39.99213965351803,-0.06638226059666508
WAP164,61,39.99231904979473,-0.06749232119366333
